Distance from Center (cmd=annotatePeaks.pl HDAC3_peaks_m682_m683_2fold_tagm854_great_than6.txt hg19 -size -5000,5000 -hist 20 -d /projects/p20023/chip_seq/m800_819/tagm804/ /projects/p20023/chip_seq/m800_819/tagm805/ /projects/p20023/chip_seq/m800_819/tagm806/ /projects/p20023/chip_seq/m800_819/tagm807/)	/projects/p20023/chip_seq/m800_819/tagm804/ Coverage	/projects/p20023/chip_seq/m800_819/tagm804/ + Tags	/projects/p20023/chip_seq/m800_819/tagm804/ - Tags	/projects/p20023/chip_seq/m800_819/tagm805/ Coverage	/projects/p20023/chip_seq/m800_819/tagm805/ + Tags	/projects/p20023/chip_seq/m800_819/tagm805/ - Tags	/projects/p20023/chip_seq/m800_819/tagm806/ Coverage	/projects/p20023/chip_seq/m800_819/tagm806/ + Tags	/projects/p20023/chip_seq/m800_819/tagm806/ - Tags	/projects/p20023/chip_seq/m800_819/tagm807/ Coverage	/projects/p20023/chip_seq/m800_819/tagm807/ + Tags	/projects/p20023/chip_seq/m800_819/tagm807/ - Tags
-5000	0.563834513027871	0.00259819376903753	0.00264228076738092	0.597112903097119	0.00272412226794201	0.00271837759846089	0.554530833317539	0.00248704109442629	0.00260166729011912	0.611485063859361	0.00283519478437446	0.00269091006252335
-4980	0.561724034105705	0.00236600224442898	0.0027172286645647	0.59804868636101	0.00267471811040447	0.002734462673008	0.5537464898475	0.00257040560038471	0.00234288996953986	0.614345107679166	0.00292032277026662	0.00273419547907869
-4960	0.558953221287647	0.00246005450756155	0.00259084593598029	0.59907804795129	0.00284016459146042	0.00267816491209313	0.556019485209653	0.00253393362902791	0.00243320151766148	0.613357558916274	0.00271399561801953	0.00284962325655957
-4940	0.557800873900698	0.00252912413829954	0.00264668946721527	0.59753920436178	0.00268850531715913	0.00263335649014048	0.555955457171283	0.00247835729172229	0.00241409715171267	0.61276759472026	0.00274573825682677	0.00291887992304811
-4920	0.557464233091028	0.00255263720408269	0.00253206327152243	0.598173457462862	0.00274250521028155	0.00278731363223421	0.556131534276802	0.00235852081440706	0.00261035109282313	0.611895473734849	0.00277026665954146	0.00279335221503765
-4900	0.55606587895855	0.00250561107251639	0.00262611553465502	0.598526975584776	0.00271033506118735	0.00279880297119643	0.556227576334358	0.00257040560038471	0.00245577940469188	0.612280232993119	0.00279335221503764	0.00278180943728955
-4880	0.554382674910197	0.00262611553465501	0.0025247154384652	0.596936144036161	0.0027712285576871	0.00277812216106444	0.556595737554988	0.0025044086998343	0.00258429968471112	0.609433014481923	0.0025942392988831	0.00273708117351571
-4860	0.553748236461202	0.00263934163415803	0.00259084593598029	0.596041951139554	0.00272871800352689	0.00268390958157424	0.557652200188102	0.00262250841660873	0.00269024207769995	0.609971677443501	0.0027875808261636	0.00278613797894509
-4840	0.552816000372884	0.0025908459359803	0.0025658633035857	0.595386902854831	0.0026712713087158	0.00275973921872488	0.554882987528577	0.00266419066958794	0.0024922513760487	0.606919253994562	0.00268802436808633	0.00279768075669318
-4820	0.554097824994322	0.00268783733233577	0.00258349810292307	0.594128794244488	0.00275744135093244	0.00270229252391379	0.554066630039352	0.0025217763052423	0.00266071714850634	0.605944530540278	0.00278613797894509	0.00279335221503764
